Editor-in-Chief;Editor Chefe;Editor jefe
Executive editors;Editor Executivo;Editores ejecutivos
Assistant editors;Editor Científico;Editor científico
Scientific Editors;Editores Associados;Editores asociados
Associated Editors;Editores de Área;Editores de área
Area Editors;Editores Assistentes;Editores asistentes
Editorial Board;Conselho Editorial;Consejo de redacción
Advisory Board;Conselho Consultivo;Consejo consultivo
Editorial Production;Produção Editorial;Producción editorial
Executive Office;Secretaria Executiva;Secretaría ejecutiva
Grafic Composition;Composição e Arte;Composición y arte
Proofreading;Revisão de texto;Corrección
Translation;Tradução;Traducción
Librarian;Bibliotecário;Bibliotecario
